Designator,Mid X,Mid Y,Layer,Rotation
C1,0.5,5.9,Top,180
C2,2.2,2.9,Top,0
C3,-3.7,3.1,Top,180
C4,5.59,5.59,Top,180
D1,11.18,-7.62,Top,0
D2,7.11,12.95,Top,180
D3,7.11,10.41,Top,180
F1,5.59,7.87,Top,180
F2,13.21,12.19,Top,0
LED1,-9.7,11.3,Top,180
LED2,-9.7,5,Top,180
LED3,-9.7,-1.4,Top,180
LED4,-9.7,-7.7,Top,180
LED5,-1.9,-20.7,Top,0
Q1,14.73,-5.33,Top,90
Q2,18.03,11.43,Top,90
R1,9.91,16.51,Top,270
R2,12.19,16.51,Top,90
R3,-9.3,16,Top,270
R4,-5.6,0.5,Top,0
R5,-5.6,-1.8,Top,0
R6,-5.6,-4.1,Top,0
R7,-5.6,-6.5,Top,0
R8,10.92,-3.81,Top,270
R9,8.76,-3.81,Top,270
R10,-1.8,-18.2,Top,0
R11,-1.7,-15.1,Top,180
R12,17.02,17.27,Top,180
R13,17.02,14.99,Top,180
U1,-3.7,5.8,Top,0
U2,1.9,-3.1,Top,270
