Comment,Designator,Footprint,LCSC Part #
1uF CL21B105KBFNNNE,C1 C3,C0805,C28323
.1uF CL21B104KBFNNNE,C2,C0805,C49678 
10uF TAJA106K016RNJ,C4,A/3216-18R,C7171
MBR2H100SFT3G ,D1 D2 D3,SODFL3718X115,C96515
13.2V 1.8A,F1 F2,1206,C70081
NCD0805G1,LED1 LED2 LED3 LED4,CHIPLED_0805,C84260
NCD0805R1,LED5,CHIPLED_0805,C84256
AO3400A,Q1 Q2,SOT23,C20917
10K 0805W8F1002T5E,R1 R9 R11 R12,R0805,C17414
18K 0805W8F1802T5E,R2,R0805,C17506
1K2 0805W8F1201T5E,R3 R10,R0805,C17379
120 0805W8F1200T5E,R4 R5 R6 R7 R8 R13,R0805,C17437
LP2985-50DBVR,U1,SOT25,C74511
ATTINYX04SOIC14,U2,SOIC127P600X144-14,C481364
