Designator,Mid X,Mid Y,Layer,Rotation
C1,-5.08, 5.71,Top,180.0
C2, 0.51, 4.70,Top,0.0
C3,-4.83, 0.25,Top,180.0
C4,-5.59, 7.87,Top,0.0
C5,18.29,13.59,Top,0.0
C6,18.29,18.92,Top,0.0
C7,16.38,11.43,Top,0.0
C8, 0.51, 2.54,Top,0.0
C9,15.11,21.08,Top,0.0
D1, 9.40,-7.62,Top,0.0
LED1,-9.65,11.30,Top,270.0
LED2,-9.65, 4.95,Top,270.0
LED3,-9.65,-1.40,Top,270.0
LED4,-9.65,-7.75,Top,270.0
LED5,-1.91,-20.70,Top,90.0
Q1,13.46,-6.35,Top,180.0
Q2,16.76,-6.35,Top,0.0
R1, 7.24, 3.05,Top,90.0
R2, 7.24, 7.37,Top,90.0
R4,-4.83,-2.16,Top,0.0
R5,-5.33,-4.32,Top,0.0
R6,-5.33,-6.48,Top,0.0
R7,-5.33,-8.64,Top,0.0
R8,10.03,-4.19,Top,270.0
R9, 7.87,-4.19,Top,270.0
R10,-1.78,-18.16,Top,0.0
R11,-1.65,-15.11,Top,180.0
R12,18.67,-15.62,Top,90.0
R13,18.67,-11.30,Top,270.0
R14,11.43,19.43,Top,90.0
R15, 9.27,19.43,Top,270.0
R16,10.29,16.26,Top,0.0
R17,18.29,16.76,Top,180.0
R18,10.29,11.94,Top,180.0
R19,10.29,14.10,Top,0.0
R20,-0.25,-8.89,Top,0.0
U1,-5.21, 2.92,Top,90.0
U2, 1.91,-3.05,Top,0.0
U9,14.48,15.88,Top,0.0
