Designator,Value,Manufacturer,Manufacturer's Part #,Package,Vendor Part #,Digikey #,Price Each
"H1, H4",2.1 x 5.5mm DC Jack,CUI,PJ-066A,,CP-066A-ND,CP-066A-ND, $1.9368 
LP1,Quad Lightpipe,DIALIGHT,5151020F,,350-2166-ND,350-2166-ND, $1.7300 
"BATT+, BATT-",Battery Tabs,TE Connectivity,1217754-1,,A112005-ND,, $0.2500 
POT1,Pot w/switch,TT Electronics,P091S-FC20BR10K,,858-P091SFC20BR10K,987-1283-ND, $1.2960 
